Key,Source,Context,Changes,English,German,
starterPackBook,items,Item,KgNone,Starter Pack (Book),Starter Pack (Buch),
starterPackBookDesc,items,Item,KgNone,Craft book bundle.,Bastelbuch-Bundle,
BookOfExperience,items,Item,KgNone,Book of Experience (Book),Starter Pack (Buch),
BookOfExperienceDesc,items,Item,KgNone,Give yourself some life experience.,Bastelbuch-Bundle,
bookBundleFiremansAlmanac,items,Item,KgNone,The Fireman's Almanac Bundle (Completed),Das Almanach-Bündel des Feuerwehrmanns (Abgeschlossen),
bookBundleNightStalker,items,Item,KgNone,Night Stalker Bundle (Completed),Night Stalker Bundle (Abgeschlossen),
bookBundleLuckyLooter,items,Item,KgNone,Lucky Looter Bundle (Completed),Glücklicher Sammler Bundle (Abgeschlossen),
bookBundleEnforcer,items,Item,KgNone,Enforcer Bundle (Completed),Vollstrecker-Bundle (abgeschlossen),
bookBundleBatterUp,items,Item,KgNone,Batter Up Bundle (Completed),Batter Up Bundle (Abgeschlossen),
bookBundleGreatHeist,items,Item,KgNone,The Great Heist Bundle (Completed),Das große Überfallbündel (Abgeschlossen),
bookBundleWasteTreasures,items,Item,KgNone,Wasteland Treasures Bundle (Completed),ÖdlandSchätze (Abgeschlossen),
bookBundleNeedleAndThread,items,Item,KgNone,Needle & Thread Bundle (Completed),Nadel & Faden Bundle (Abgeschlossen),
bookBundleHuntingJournal,items,Item,KgNone,The Hunter's Journal Bundle (Completed),Der Jäger (Abgeschlossen),
bookBundleArtOfMining,items,Item,KgNone,Art of Mining Bundle (Completed),Die Kunst des Bergbaus Bündel (Abgeschlossen),
bookBundleRangers,items,Item,KgNone,Ranger's Guide to Archery Bundle (Completed),Aufsehers Guide des Bogenschießens Bündel (Abgeschlossen),
bookBundlePistolPete,items,Item,KgNone,Pistol Pete Bundle (Completed),Pistolen Junge (Abgeschlossen),
bookBundleShotgunMessiah,items,Item,KgNone,Shotgun Messiah Bundle (Completed),Schrotflinten Gott Bundle (Abgeschlossen),
bookBundleSniper,items,Item,KgNone,Sniper Bundle (Completed),Scharfschützen Bündel (Abgeschlossen),
bookBundleAutoWeapons,items,Item,KgNone,Automatic Weapons Handbook Bundle (Completed),Handfeuer Waffenbuch Bündel (Abgeschlossen),
bookBundleUrbanCombat,items,Item,KgNone,Urban Combat Bundle (Completed),,
bookBundleArcticSurvival,items,Item,KgNone, Arctic Survival Bundle (Completed),,
bookBundleGroupDesc,items,Item,KgNone,Whole set volume book bundle. Use this item to open and unpack the bundle.,Ganzes Volumenbuchpaket. Verwenden Sie diesen Gegenstand, um das Bündel zu öffnen und auszupacken.,
startSuitcase,items,Item,KgNone,Strange Suitcase,Start Hilfe Koffer,
startSuitcaseDesc,items,Item,KgNone,Starter items. Use this item to open and unpack the suitcase.,Starter-Artikel. Verwenden Sie diesen Gegenstand- um den Koffer zu öffnen und auszupacken.,
HDMASDesc,items,armor,New,The highest quality money can buy so these give less penalties place points into LightArmor to craft better versions.
ChristmasPack,items,Item,KgNone,Christmas Pack (Season),,
ChristmasPackDesc,items,Item,KgNone,Happy Christmas!,Frohe Weihnachten,

